New,Old
Female.A.12hr.Tg,F1.12hr.Tg.and.F8.12hr.Tg
Female.A.6hr.DMSO,F1.6hr.DMSO.and.F8.6hr.DMSO
Female.A.6hr.Tg,F1.6hr.Tg.and.F8.6hr.Tg
Female.B.12hr.DMSO,F2.12hr.DMSO.and.F9.12hr.DMSO
Female.B.12hr.Tg,F2.12hr.Tg.and.F9.12hr.Tg
Female.B.6hr.DMSO,F2.6hr.DMSO.and.F9.6hr.DMSO
Female.B.6hr.Tg,F2.6hr.Tg.and.F9.6hr.Tg
Female.C.6hr.DMSO,F3.6hr.DMSO
Female.C.6hr.Tg,F3.6hr.Tg
Female.D.12hr.DMSO,F7.12hr.DMSO.and.F10.12hr.DMSO
Female.D.12hr.Tg,F7.12hr.Tg.and.F10.12hr.Tg
Female.D.6hr.DMSO,F7.6hr.DMSO.and.F10.6hr.DMSO
Female.D.6hr.Tg,F7.6hr.Tg.and.F10.6hr.Tg
Female.A.12hr.DMSO,F8.12hr.DMSO
Male.A.12hr.DMSO,M1.12hr.DMSO.and.M10.12hr.DMSO
Male.A.12hr.Tg,M1.12hr.Tg.and.M10.12hr.Tg
Male.A.6hr.DMSO,M1.6hr.DMSO.and.M10.6hr.DMSO
Male.A.6hr.Tg,M1.6hr.Tg.and.M10.6hr.Tg
Male.B.12hr.DMSO,M2.12hr.DMSO.and.M9.12hr.DMSO
Male.B.12hr.Tg,M2.12hr.Tg.and.M9.12hr.Tg
Male.B.6hr.DMSO,M2.6hr.DMSO.and.M9.6hr.DMSO
Male.B.6hr.Tg,M2.6hr.Tg.and.M9.6hr.Tg
Male.C.12hr.DMSO,M7.12hr.DMSO
Male.C.12hr.Tg,M7.12hr.Tg
Male.C.6hr.DMSO,M7.6hr.DMSO
Male.C.6hr.Tg,M7.6hr.Tg
Male.D.6hr.DMSO,M8.6hr.DMSO
